Local,Email,EstabelecimentoID,Telefone
Bar do mineiro,bar@bardomineiro,1,(31) 96787-9326
Restaurante da Ana,ana@restaurantedana.com,2,(11) 98891-8293
Supermercado ABC,contato@superabc.com,3,(71) 99854-2730
Padaria do Paulo,paulo@padariapaulo.com,4,(61) 97029-4259
Lanchonete da Maria,maria@lanchonetemaria.com,5,(61) 95460-5114
Café Expresso,contato@cafeexpresso.com,6,(81) 91353-6764
Pizzaria Bella,contato@pizzariabella.com,7,(91) 96418-7540
Churrascaria Gaúcha,contato@churrascariagaucha.com,8,(31) 98582-4944
Cantina Italiana,contato@cantinaitaliana.com,9,(91) 93994-5119
Mercadinho da Esquina,contato@mercadinhoesquina.com,10,(41) 90819-7897
Doceria Delícia,contato@doceriadelicia.com,11,(61) 95626-8430
Pastelaria do Mário,contato@pastelariadomario.com,12,(21) 99320-8273
Hamburgueria Prime,contato@hamburgueriaprime.com,13,(61) 90265-7365
Sorveteria Geladinho,contato@sorveteriageladinho.com,14,(51) 92493-8299
Padoca do Zé,contato@padocadodze.com,15,(61) 94617-3404
Adega do Luiz,contato@adegadoluz.com,16,(71) 93274-7401
Botequim do Chico,contato@botequimdochico.com,17,(11) 91707-4088
Cervejaria Artesanal,contato@cervejariaartesanal.com,18,(11) 95799-9899
Barbearia do Toninho,contato@barbeariadotoninho.com,19,(91) 99438-6690
Farmácia Popular,contato@farmaciapopular.com,20,(51) 94871-3208
Livraria Cultura,contato@livrariacultura.com,21,(91) 99104-9942
Papelaria Central,contato@papelariacentral.com,22,(41) 93189-7746
Academia Fit,contato@academiafit.com,23,(11) 92674-3789
Salão Beleza Pura,contato@salaobelezapura.com,24,(51) 91844-9553
Loja de Roupas Fashion,contato@lojaderoupasfashion.com,25,(81) 97241-3620
Pet Shop Amigo Fiel,contato@petshopamigofiel.com,26,(31) 91631-4388
Oficina Mecânica,contato@oficinamecanica.com,27,(31) 96744-7044
Padaria São João,contato@padariasaojoao.com,28,(91) 95641-1530
Lanchonete Top,contato@lanchonetetop.com,29,(41) 92964-7794
Restaurante Vegetariano,contato@restaurantevegetariano.com,30,(81) 98693-9060
Bar e Grill,contato@baregrill.com,31,(41) 93510-4603
Chocolateria,contato@chocolateria.com,32,(81) 95224-4707
Frutaria Tropical,contato@frutariatroipcal.com,33,(71) 90229-2223
Sorveteria Sorvetão,contato@sorveteriasorvetao.com,34,(11) 91064-2800
Restaurante Japonês,contato@restaurantejapones.com,35,(11) 91789-3252
Padaria do Bairro,contato@padariadobairro.com,36,(31) 95389-1464
Hamburgueria Burger,contato@hamburgueriaburger.com,37,(31) 93120-6163
Restaurante Francês,contato@restaurantefrances.com,38,(21) 91283-5782
Bar da Esquina,contato@bardaesquina.com,39,(51) 93941-4832
Restaurante Mexicano,contato@restaurantemexicano.com,40,(21) 90293-4063
Pizzaria Italiana,contato@pizzariaitaliana.com,41,(71) 99975-5015
Café Gourmet,contato@cafegourmet.com,42,(81) 91370-2605
Restaurante Brasileiro,contato@restaurantebrasileiro.com,43,(61) 90767-4956
Lanchonete do Bairro,contato@lanchonetedobairro.com,44,(61) 93857-1485
Pizzaria São Pedro,contato@pizzariasampedro.com,45,(11) 95909-3334
Pastelaria da Vila,contato@pastelariadavila.com,46,(71) 98676-3040
Doceria Fina,contato@doceriafina.com,47,(21) 95174-9538
Cervejaria Gourmet,contato@cervejariagourmet.com,48,(61) 93477-1255
Mercadinho do Bairro,contato@mercadinhodobairro.com,49,(51) 92221-5831
Bar do João,joao@bardojoao.com,50,(71) 98909-8853
